0)20,4871,[2, 4, 7, 8, 1, 5, 3, 6, 0]
1)20,4871,[2, 4, 7, 8, 1, 6, 0, 5, 3]
2)20,4871,[2, 4, 7, 8, 1, 6, 5, 0, 3]
3)20,4871,[2, 4, 7, 8, 1, 6, 5, 3, 0]
4)20,4871,[2, 4, 7, 8, 3, 0, 1, 5, 6]
5)20,4871,[2, 4, 7, 8, 3, 0, 5, 6, 1]
6)20,4871,[2, 4, 7, 8, 3, 0, 6, 1, 5]
7)20,4871,[2, 4, 7, 8, 3, 1, 0, 5, 6]
8)20,4871,[2, 4, 7, 8, 3, 1, 5, 0, 6]
9)20,4871,[2, 4, 7, 8, 3, 1, 5, 6, 0]
10)20,4871,[2, 4, 7, 8, 3, 5, 0, 6, 1]
11)20,4871,[2, 4, 7, 8, 3, 5, 6, 0, 1]
12)20,4871,[2, 4, 7, 8, 3, 5, 6, 1, 0]
13)20,4871,[2, 4, 7, 8, 3, 6, 0, 1, 5]
14)20,4871,[2, 4, 7, 8, 3, 6, 1, 0, 5]
15)20,4871,[2, 4, 7, 8, 3, 6, 1, 5, 0]
16)20,4871,[2, 4, 7, 8, 5, 0, 1, 6, 3]
17)20,4871,[2, 4, 7, 8, 5, 0, 3, 1, 6]
18)20,4871,[2, 4, 7, 8, 5, 0, 6, 3, 1]
19)20,4871,[2, 4, 7, 8, 5, 1, 0, 6, 3]
20)20,4871,[2, 4, 7, 8, 5, 1, 6, 0, 3]
21)20,4871,[2, 4, 7, 8, 5, 1, 6, 3, 0]
22)20,4871,[2, 4, 7, 8, 5, 3, 0, 1, 6]
23)20,4871,[2, 4, 7, 8, 5, 3, 1, 0, 6]
24)20,4871,[2, 4, 7, 8, 5, 3, 1, 6, 0]
